Enemy Name,Locale,Tier,Humanoid,HP,ATK,DEF,SPE,Innate Skill,Class/Skill,Primary Weapon,Primary Weapon Type,Primary Weapon Ammo/CD,Primary Weapon Strike,Primary Weapon Spell/Skill,Secondary Weapon,Secondary Weapon Type,Secondary Weapon Ammo/CD,Secondary Weapon Strike,Secondary Weapon Spell/Skill,Artifact,Artifact Spell,Artifact Reactive
Thunderbird,The Static Plains,T3,No,320,80,65,90,Eye of the Storm: Immune to Shock. +25 Attack against Shocked enemies.,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Storm Gaze,Magic,CD 1,85 Power. Shocks target for 2 rounds.,"Stormfront (Spell, CD 2): Deal 40 damage to all enemies; Shock all for 2 rounds.",,,,,,,,
Kirin,The Static Plains,T3,No,350,70,75,70,Sacred Beast: Allies in the Kirin's lane are immune to Burn and Weaken.,Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Holy Thunder,Magic,CD 1,80 Power.,"Purifying Thunder (Spell, CD 2): Target ally restores 70 HP; target enemy takes 40 damage, Shocked for 2 rounds.",,,,,,,,
Storm Archon,The Static Plains,T3,Yes,310,80,70,80,"Conduit: When casting a Spell, next Magic Strike deals +20 damage.",Mage / Arcane: +15 HP. First Spell after Switching weapons does not go on cooldown.,Arc Scepter,Magic,CD 1,80 Power. -25 Speed to target for 2 rounds.,"Tempest (Spell, CD 2): Deal 50 damage to all enemies; -25 Speed to all for 2 rounds.",,,,,,,,
Lightning Wolf Pack,The Static Plains,T3,No,340,75,65,85,Volt Rush: +25 Speed while an enemy is Shocked.,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Thunderfang,Melee,—,90 Power. Shocks target for 2 rounds.,"Pack Tactics (Spell, CD 2): Strikes deal +30 damage and ignore targeting this round.",,,,,,,,
"Iku-Turso, Storm Kraken",The Static Plains,T4,No,410,95,80,85,Tempest Tentacles: Strikes deal +15 damage for each Shocked enemy.,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Lightning Lash,Magic,CD 1,85 Power. Shocks target for 2 rounds.,"Maelstrom (Spell, CD 2): Deal 50 damage to all enemies; Shock all for 2 rounds.",Abyssal Current,Magic,CD 1,80 Power. -25 Defense to target for 2 rounds.,Depth Charge (Skill): Magic Strikes deal +15 damage to enemies with a stat penalty.,Kraken's Eye (+15 ATK),Tidal Shock (CD 2): Next Strike deals +30 damage and is Spread.,
"Adze, the Burning Fly",The Static Plains,T4,No,370,85,70,110,Plague Carrier: Strikes inflict Burn and Shock for 2 rounds.,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Fever Sting,Melee,—,100 Power.,"Swarm (Spell, CD 2): Next 2 Strikes ignore targeting.",Miasma Wings,Magic,CD 1,75 Power. Spread. Burns targets for 2 rounds.,Epidemic (Skill): Burns deal 12% max HP instead of 8%.,Tainted Jewel (+15 SPD),Consume Vitality (CD 2): Deal 40 damage to target; restore equal HP.,
"The Stormherder, Yara",The Static Plains,T4,Yes,390,85,75,95,Arc Shot: Ranged Strikes chain 20 damage to one adjacent enemy.,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Voltbow,Ranged,4 Ammo,70 Power. Shocks target for 2 rounds.,"Overcharge (Spell, CD 2): Next Strike deals +40 damage; Shocks all enemies hit for 2 rounds.",Thunder Glaive,Melee,—,100 Power. Shocks target for 2 rounds.,Static Field (Skill): Shocked enemies take +15 damage from Ranged Strikes.,Storm Quiver (+15 ATK),Lightning Volley (CD 2): Next Strike is Spread; does not consume Ammo.,
"The Raiju, Stormbeast",The Static Plains,T5,No,440,105,85,100,"Living Lightning: Immune to Shock. At end of round, deal 20 damage to all Shocked enemies.",Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Ball Lightning,Magic,CD 1,90 Power. Spread. Shocks targets for 2 rounds.,"Fulgurite (Spell, CD 2): Deal 60 damage to target; -50 Speed for 2 rounds.",Thunder Paw,Melee,—,105 Power. Shocks target for 2 rounds.,Storm Chase (Skill): +25 Speed per Shocked enemy.,Core of the Tempest (+50 ATK),Supercell (CD 2): Deal 40 damage to all enemies; Shock and Expose all for 2 rounds.,"Lightning Reflex (CD 2): When targeted by a Strike, Swap positions."
"Perun's Daughter, Zarya",The Static Plains,T5,Yes,460,90,100,80,"Stormblessed: When healing an ally, also Shock a random enemy for 2 rounds.",Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Staff of Dawn,Magic,CD 1,80 Power. Target ally restores 50 HP.,"Healing Storm (Spell, CD 2): All allies restore 60 HP.",Thunder Mace,Melee,—,100 Power. Shocks target for 2 rounds.,Consecrated Lightning (Skill): Shocked enemies deal 15% less damage.,Perun's Mantle (+50 DEF),Divine Storm (CD 2): Deal 40 damage to all enemies; all allies restore 40 HP.,"Storm Shield (CD 2): When ally takes fatal damage, survive at 1 HP; Shock attacker for 2 rounds."
"Nue, the Chimera of Black Clouds",The Static Plains,T5,No,430,100,80,120,"Nightmare Presence: At start of round, enemies have -15 Attack and -15 Speed for 1 round.",Rogue / Covert: +25 HP. Can Swap as Bonus Action each round a Spell is cast.,Monkey Claws,Melee,—,110 Power. Exposes target for 2 rounds.,"Tiger Pounce (Spell, CD 2): Swap to frontline; next Strike +40 damage; ignores targeting.",Serpent Tail,Magic,CD 1,80 Power. Burns and Shocks target for 2 rounds.,"Black Cloud (Skill): When Swapping, deal 20 damage to enemies in lane each round for 2 rounds.",Storm Shroud (+50 SPD),"Chimeric Horror (CD 2): -25 Attack, -25 Defense, -25 Speed to target for 2 rounds.",Mist Form (CD 2): Next Strike against Nue this round deals 0 damage.
"Raijin's Heir, Inazuma",The Static Plains,Apex,Yes,550,120,100,95,"Lord of Lightning: Magic Strikes deal +25 damage to Shocked enemies. At start of round, enemies with 2+ status conditions take 30 damage.","Mage / Archon, Evoker, or Spellweaver (Legendary): One Legendary Mage skill per encounter variant.",Taiko of Thunder,Magic,CD 1,95 Power. Spread. Shocks targets for 2 rounds.,"Divine Bolt (Spell, CD 2): Deal 70 damage to target; Shock and Expose for 2 rounds.",Raijin's Drum,Magic,CD 2,110 Power. Burns and Shocks target for 2 rounds.,Storm Surge (Skill): Deal 40 damage to all enemies; Shock all for 2 rounds; +25 Attack for 2 rounds.,Drum of a Thousand Storms (+50 ATK),"Apocalypse Thunder (CD 2): Deal 50 damage to all enemies; Shock, Burn, Expose all for 1 round.","Thunder God's Mantle (CD 2): When Struck, Shock attacker for 2 rounds; take 25% less damage."
Hellhound Pup,The Scar,T1,No,185,55,40,70,Infernal Speed: +25 Speed while an enemy is Burned.,,Fire Fang,Melee,—,80 Power. Burns target for 1 round.,,,,,,,,,
Frost Wraith,The Scar,T1,No,165,50,40,75,Chilling Touch: Strikes deal +20 damage to enemies with -Speed.,,Frozen Touch,Magic,CD 2,60 Power. -25 Speed to target for 2 rounds.,,,,,,,,,
Ashen Thief,The Scar,T1,Yes,195,55,45,65,,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Cinder Knife,Melee,—,85 Power.,,,,,,,,,
Ember Imp,The Scar,T1,No,155,50,35,80,Firestarter: Burns deal 12% max HP instead of 8%.,,Flame Spit,Ranged,3 Ammo,45 Power. Burns target for 2 rounds.,,,,,,,,,
Scar Raider,The Scar,T1,Yes,210,55,50,50,,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Obsidian Axe,Melee,—,80 Power.,,,,,,,,,
Ice Stalker,The Scar,T1,Yes,200,50,45,70,,Rogue / Covert: +25 HP. Can Swap as Bonus Action each round a Spell is cast.,Frost Blade,Melee,—,80 Power.,,,,,,,,,
Salamander,The Scar,T2,No,260,60,55,55,Molten Hide: Reflects 15% of melee Strike damage.,,Lava Maw,Melee,—,90 Power. Burns target for 2 rounds.,"Lava Pool (Spell, CD 2): Deal 30 damage to frontline enemy each round for 2 rounds.",,,,,,,,
Shadow Dancer,The Scar,T2,Yes,225,60,50,80,,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Shadow Blade,Melee,—,95 Power.,"Shadowstep (Spell, CD 1): Swap positions; +25 Speed for 2 rounds.",,,,,,,,
Frost Spider,The Scar,T2,No,240,55,55,60,Cold-Blooded: Immune to Root. +15 damage against Rooted targets.,,Ice Fang,Ranged,3 Ammo,55 Power. Roots target for 2 rounds.,"Ice Web (Spell, CD 2): Root and -25 Speed to target for 2 rounds.",,,,,,,,
Hellforged Knight,The Scar,T2,Yes,280,65,60,45,,Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,Hellforged Blade,Melee,—,100 Power.,"Flame Blade (Spell, CD 2): Next Strike Burns target for 2 rounds; +25 damage.",,,,,,,,
Jotunn Ice Shaman,The Scar,T3,Yes,320,80,70,75,Frostburn: Enemies with -Speed take +20 damage from the Shaman's Strikes.,Mage / Arcane: +15 HP. First Spell after Switching weapons does not go on cooldown.,Frost Staff,Magic,CD 1,80 Power. -25 Speed to target for 2 rounds.,"Blizzard (Spell, CD 2): Deal 40 damage to all enemies; -25 Speed to all for 2 rounds.",,,,,,,,
Magma Wyrm,The Scar,T3,No,360,80,75,60,Living Inferno: Burns deal 12% max HP. Burned enemies cannot heal.,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Molten Jaw,Melee,—,100 Power. Burns target for 2 rounds.,"Eruption (Spell, CD 2): Deal 50 damage to all enemies; Burn all for 2 rounds.",,,,,,,,
Shade Assassin,The Scar,T3,Yes,290,85,60,100,Mark of Death: Exposed enemies take +25 damage from the Shade's Strikes.,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Umbral Blade,Melee,—,95 Power. Exposes target for 2 rounds.,"Vanish (Spell, CD 2): Untargetable next round.",,,,,,,,
Cerberus Whelp,The Scar,T3,No,350,75,80,55,Hellguard: Takes 20% less damage while frontline. Burns attackers for 1 round.,Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,Triple Fang,Melee,—,95 Power.,"Three-Headed Strike (Spell, CD 2): Strike 3 times at 40% damage each.",,,,,,,,
"Fenrir's Cub, Managarm",The Scar,T4,No,400,90,75,105,Frostfang: +25 damage against enemies with any stat penalty.,Rogue / Covert: +25 HP. Can Swap as Bonus Action each round a Spell is cast.,Moon Fang,Melee,—,110 Power. -25 Defense to target for 2 rounds.,"Shadow Lunge (Spell, CD 2): Swap to frontline; next Strike ignores targeting; Exposes target for 2 rounds.",Howling Wind,Magic,CD 1,80 Power. -25 Speed to target for 2 rounds.,Predator's Instinct (Skill): Strikes deal +15 damage to enemies below 50% HP.,Frostbite Collar (+15 SPD),Winter's Howl (CD 2): -25 Speed to all enemies for 2 rounds.,
"The Balrog's Ember, Azrathar",The Scar,T4,No,430,95,85,80,Wreathed in Flame: Enemies who Strike Azrathar are Burned for 2 rounds. Burns deal 12% max HP.,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Hellfire Blade,Melee,—,120 Power. Burns target for 2 rounds.,"Inferno Slash (Spell, CD 2): Strike deals +40 damage; Burns and Exposes target for 2 rounds.",Lash of Cinders,Ranged,3 Ammo,70 Power. Spread. Burns targets for 2 rounds.,Ash and Ruin (Skill): Spread Strikes deal full damage to Burned targets.,Ember Crown (+15 ATK),Immolation (CD 2): Deal 50 damage to all enemies; Burn all for 2 rounds.,
"Lady Louhi, Ice Witch",The Scar,T4,Yes,380,90,85,90,Frozen Heart: Enemies with 2+ status conditions are Rooted.,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Frost Scepter,Magic,CD 1,85 Power. -25 Speed to target for 2 rounds.,"Shatter (Spell, CD 2): Deal 60 damage to target with a status condition; +20 per condition.",Ice Mirror,Magic,CD 1,75 Power. Guards self for 2 rounds.,Permafrost Gaze (Skill): Magic Strikes also Weaken target for 2 rounds.,Sampo Fragment (+15 DEF),Frost Barrier (CD 2): Guard self and all allies for 2 rounds.,
"Hel, Mistress of the Dead",The Scar,T5,Yes,470,90,95,80,"Half-Dead: Takes 50% less damage from Strikes, 50% more from Spells. Healing doubled on allies below 50% HP.",Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Death's Touch,Magic,CD 1,85 Power. Weakens and Burns target for 2 rounds.,"Raise Dead (Spell, CD 2): If a knocked-out ally exists, revive at 40% HP.",Life's Caress,Magic,CD 1,75 Power. Target ally restores 80 HP.,"Balance of Life (Skill): When healing an ally, deal equal damage to lowest HP enemy.",Throne of Niflheim (+50 HP),Realm of the Dead (CD 2): All allies restore 60 HP; all enemies take 30 damage.,"Death's Embrace (CD 2): When ally takes fatal damage, survive at 1 HP; attacker Weakened for 2 rounds."
"Ifrit, the Unbound",The Scar,T5,No,460,110,85,90,Living Flame: Immune to Burn. +25 Attack per Burned enemy.,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Searing Scimitar,Melee,—,120 Power. Burns target for 2 rounds.,"Wildfire (Spell, CD 2): Burn all enemies for 2 rounds; +25 Attack for 2 rounds.",Inferno Clap,Magic,CD 1,90 Power. Spread. Burns targets for 2 rounds.,Firestorm (Skill): Spread Strikes deal full damage to Burned targets.,Heart of the Pyre (+50 ATK),Conflagration (CD 2): Deal 60 damage to all; Burns deal 12% while active.,Phoenix Rebirth (CD 2): Survive fatal damage at 1 HP; restore 100 HP; Burn all enemies for 2 rounds.
"The Erlking's Shade, Morwen",The Scar,T5,Yes,420,100,80,120,Death's Shadow: First Strike each round that would hit Morwen hits the lowest HP enemy instead.,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Umbral Daggers,Melee,—,105 Power. Exposes target for 2 rounds.,"Phantom Strike (Spell, CD 1): Next Strike ignores targeting; +25 damage.",Shadow Bow,Ranged,3 Ammo,70 Power. Spotlights target for 2 rounds.,Kill Shot (Skill): Strikes deal +30 damage to Exposed and Spotlighted targets.,Cloak of Midnight (+50 SPD),From the Shadows (CD 2): Swap to backline; untargetable 1 round; +50 Attack 1 round.,"Shadow Step (CD 2): When targeted by a Strike, Swap positions."
"Surtr's Shadow, Emberclaw",The Scar,Apex,No,540,110,95,130,"Twilight Predator: Strikes deal +25 damage to enemies with any status condition. When Swapping, +25 Attack and +25 Speed for 1 round.","Rogue / Phantom, Executioner, or Saboteur (Legendary): One Legendary Rogue skill per encounter variant.",Frostfire Fang,Melee,—,115 Power. Burns target for 2 rounds.,"Shadow Pounce (Spell, CD 1): Swap to frontline; next Strike ignores targeting.",Cinder Claws,Melee,—,110 Power. Exposes target for 2 rounds.,"Dusk Strike (Spell, CD 2): Next Strike +40 damage; -25 Defense to target for 2 rounds.",Mask of the End (+50 SPD),Ragnarok's Edge (CD 2): Deal 60 damage to all enemies; Burn and Expose all for 1 round.,"Between Worlds (CD 2): When Struck, take 50% less damage; Swap positions."
Royal Hound,The High Court,T1,No,200,50,45,65,Tracking: Can Strike backline enemies in its lane.,,Hunting Bite,Melee,—,75 Power.,,,,,,,,,
Court Archer,The High Court,T1,Yes,195,50,45,60,,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Longbow,Ranged,3 Ammo,50 Power.,,,,,,,,,
Palace Griffin,The High Court,T1,No,185,50,40,70,Aerial Patrol: Does not suffer backline Speed penalty.,,Swooping Claw,Ranged,3 Ammo,45 Power.,,,,,,,,,
Squire-at-Arms,The High Court,T1,Yes,220,50,55,40,,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Training Sword,Melee,—,80 Power.,,,,,,,,,
Clockwork Sentry,The High Court,T1,No,210,45,50,55,Target Lock: Strikes deal +15 damage to Spotlighted enemies.,,Bolt Launcher,Ranged,3 Ammo,50 Power. Spotlights target for 2 rounds.,,,,,,,,,
Herald,The High Court,T1,Yes,190,45,45,65,,Ranger / Armed: +25 HP. First Ranged Strike after Switching weapons does not consume Ammo.,Herald's Bow,Ranged,3 Ammo,45 Power.,,,,,,,,,
War Elephant,The High Court,T2,No,300,55,70,30,Thick Hide: Takes 20% less damage from Ranged Strikes.,,Tusk Charge,Melee,—,100 Power.,"Trample (Spell, CD 2): Deal 30 damage to all enemies; Root frontline for 2 rounds.",,,,,,,,
King's Marksman,The High Court,T2,Yes,230,60,50,65,,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Royal Longbow,Ranged,4 Ammo,60 Power.,"Aimed Shot (Spell, CD 2): Next Strike deals +30 damage; ignores targeting.",,,,,,,,
Chimera Runt,The High Court,T2,No,260,55,55,55,"Three Heads: At end of round, deal 15 damage to each enemy.",,Fire Breath,Magic,CD 1,65 Power. Burns target for 2 rounds.,"Venomous Bite (Spell, CD 2): Weaken and Expose target for 2 rounds.",,,,,,,,
Knight Commander,The High Court,T2,Yes,280,60,65,45,,Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,Commander's Blade,Melee,—,95 Power.,"Rally (Spell, CD 2): All allies gain +15 Attack and +15 Speed for 2 rounds.",,,,,,,,
Royal Huntmaster,The High Court,T3,Yes,330,75,65,85,Pack Commander: Allies' Strikes deal +15 damage to Spotlighted enemies.,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Master's Longbow,Ranged,4 Ammo,65 Power. Spotlights target for 2 rounds.,"Hunter's Mark (Spell, CD 2): Spotlight and Expose target for 2 rounds; next Strike +25 damage.",,,,,,,,
Manticore,The High Court,T3,No,350,75,75,70,Venomous Spines: Enemies who Strike the Manticore are Weakened for 2 rounds.,Ranger / Armed: +25 HP. First Ranged Strike after Switching weapons does not consume Ammo.,Spine Volley,Ranged,3 Ammo,70 Power. Burns target for 2 rounds.,"Tail Barrage (Spell, CD 2): Next Strike is Spread.",,,,,,,,
Court Inquisitor,The High Court,T3,Yes,310,80,70,75,No Mercy: Strikes deal +25 damage to Exposed enemies.,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Inquisitor's Staff,Magic,CD 1,80 Power. Exposes target for 2 rounds.,"Interrogate (Spell, CD 2): Expose and Spotlight target; -25 Defense for 2 rounds.",,,,,,,,
Shield Guardian,The High Court,T3,No,380,65,85,40,Constructed: Immune to Burn and Shock. Takes 25% less damage from Magic.,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Iron Fist,Melee,—,95 Power. Guards self for 2 rounds.,"Protect (Spell, CD 2): Guard self and target ally for 2 rounds; Taunt nearest enemy for 2 rounds.",,,,,,,,
"Prince Charming, the Pretender",The High Court,T4,Yes,380,85,75,95,"False Valor: When an ally is knocked out, gain +25 Attack, +25 Defense, +25 Speed for 2 rounds.",Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Gilded Bow,Ranged,4 Ammo,70 Power. Spotlights target for 2 rounds.,"Royal Decree (Spell, CD 2): Spotlight all enemies for 2 rounds; next Strike +25 damage.",Ceremonial Rapier,Melee,—,100 Power. Exposes target for 2 rounds.,Courtly Duel (Skill): Strikes deal +25 damage to Exposed targets.,Crown of Lies (+15 SPD),"Inspiring Presence (CD 2): All allies +15 Attack, +15 Speed for 2 rounds.",
"Tarasque, the Living Fortress",The High Court,T4,No,450,80,100,50,Siege Engine: Takes 25% less damage from all sources while frontline. Strikes deal +25 damage to Guarded enemies.,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Stone Maw,Melee,—,110 Power. Roots target for 2 rounds.,"Earthshatter (Spell, CD 2): Root all enemies for 1 round; deal 30 damage to all.",Spiked Shell,Melee,—,95 Power. Guards self for 2 rounds.,Fortress Spines (Skill): Reflects 20% of Strike damage while Guarded.,Adamant Plate (+15 DEF),Hunker (CD 2): +50 Defense for 1 round; Taunt all enemies for 1 round.,
"The Jester, Motley",The High Court,T4,Yes,370,80,70,105,"Wild Card: At start of round, randomly Shock, Burn, or Root a random enemy for 2 rounds.",Rogue / Covert: +25 HP. Can Swap as Bonus Action each round a Spell is cast.,Trick Knife,Melee,—,100 Power. Swaps target to frontline.,"Smoke Bomb (Spell, CD 2): Swap positions; untargetable 1 round.",Juggler's Pins,Ranged,3 Ammo,65 Power. Spread. Spotlights targets for 2 rounds.,Encore (Skill): Spread Strikes do not consume Ammo against Spotlighted targets.,Fool's Crown (+15 SPD),Prank (CD 2): Swap two enemies' positions.,
"The Witch-Queen, Morgana",The High Court,T5,Yes,440,100,90,95,"Court Intrigue: When an enemy casts a Spell, Morgana steals +15 of their highest stat for 2 rounds.",Mage / Arcane: +15 HP. First Spell after Switching weapons does not go on cooldown.,Royal Scepter,Magic,CD 1,90 Power. Weakens target for 2 rounds.,"Enchantment (Spell, CD 2): Target enemy's next Strike hits their own team instead.",Mirror of Malice,Magic,CD 1,80 Power. Copies target's highest stat bonus for 2 rounds.,"Stolen Crown (Skill): When Morgana gains a stat bonus, lowest HP ally restores 25 HP.",The Obsidian Throne (+50 ATK),"Absolute Authority (CD 2): All enemies -25 Attack, -25 Speed for 2 rounds.","Royal Guard (CD 2): When Struck, reflect 30% damage; Weaken attacker for 2 rounds."
"Behemoth, the World-Eater",The High Court,T5,No,500,105,100,65,"Apex Predator: Strikes deal +25 damage. When knocking out an enemy, +50 Attack for 1 round.",Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,World-Jaw,Melee,—,125 Power.,"Cataclysm (Spell, CD 2): Deal 50 damage to all enemies; Expose all for 2 rounds.",Earth-Splitter Tail,Melee,—,105 Power. Spread. Roots targets for 2 rounds.,Tremor (Skill): Spread Strikes deal full damage to Rooted targets.,Titan's Heart (+50 HP),Devour the Earth (CD 2): Deal 70 damage to frontline enemy; restore equal HP.,Unyielding Mass (CD 2): Survive fatal damage at 1 HP; +50 Defense for 1 round.
"The Grand Marshal, Ser Aldric",The High Court,T5,Yes,450,95,90,90,Tactical Supremacy: Allies' Strikes deal +15 damage. Spotlighted enemies take +15 damage from all sources.,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Royal Arbalest,Ranged,4 Ammo,75 Power. Spotlights target for 2 rounds.,"Volley Command (Spell, CD 2): All allies' next Strikes are Spread.",Marshal's Blade,Melee,—,105 Power. Exposes target for 2 rounds.,Formation (Skill): Allies behind Aldric deal +15 damage.,The King's Standard (+50 ATK),Grand Assault (CD 2): All allies +25 Attack for 2 rounds; Spotlight all enemies for 2 rounds.,"Tactical Retreat (CD 2): When ally takes fatal damage, survive at 1 HP; Swap to backline."
"The Erlking, Sovereign of the Hunt",The High Court,Apex,Yes,560,115,105,100,Supreme Huntsman: Ranged Strikes deal +25 damage and chain 15 damage to one adjacent enemy. Spotlighted enemies take +25 damage from all sources.,"Ranger / Sharpshooter, Artillerist, or Hawkeye (Legendary): One Legendary Ranger skill per encounter variant.",Heartseeker Bow,Ranged,5 Ammo,80 Power. Spotlights target for 2 rounds.,"Marked for Death (Spell, CD 2): Spotlight, Expose, and -25 Defense to target for 2 rounds.",Stormbreaker Bow,Ranged,4 Ammo,75 Power. Spread. Spotlights targets for 2 rounds.,"Hunt Eternal (Spell, CD 2): Next 3 Strikes do not consume Ammo and deal +20 damage.",Crown of the Wild Hunt (+50 ATK),Release the Hunt (CD 2): Deal 50 damage to all enemies; Spotlight all for 2 rounds; allies +25 Speed for 2 rounds.,"Sovereign's Will (CD 2): When Struck, +25 Defense for 2 rounds; next Strike +25 damage."
